id,title,docUrl,releaseLevel,category,iconUrl,description,version,serviceName
"90","Cloud Runtime Configuration API","cloud.google.com/deployment-manager/runtime-configurator/","BETA","Other","https://www.gstatic.com/images/branding/product/1x/googleg_32dp.png","The Runtime Configurator allows you to dynamically configure and expose variables through Google Cloud Platform. In addition, you can also set Watchers and Waiters that will watch for changes to your data and return based on certain conditions.","v1","runtimeconfig.googleapis.com"
"91","Binary Authorization API","cloud.google.com/binary-authorization/","BETA","Security","https://www.gstatic.com/images/branding/product/1x/googleg_32dp.png","The management interface for Binary Authorization, a system providing policy control for images deployed to Kubernetes Engine clusters.","v1","binaryauthorization.googleapis.com"
"94","AutoML Natural Language","cloud.google.com/natural-language/automl/","BETA","AI and Machine Learning","","Train high-quality custom machine learning models with minimum effort and machine learning expertise.","v1","automl.googleapis.com"
"98","Cloud Healthcare API","cloud.google.com/healthcare/","BETA","API Management","https://www.gstatic.com/images/branding/product/1x/googleg_32dp.png","Manage, store, and access healthcare data in Google Cloud Platform.","v1beta1","healthcare.googleapis.com"
"101","Google Cloud Deployment Manager API","cloud.google.com/deployment-manager/","GA","Management Tools","https://www.gstatic.com/images/branding/product/1x/googleg_32dp.png","Declares, configures, and deploys complex solutions on Google Cloud Platform.","v2","deploymentmanager.googleapis.com"
"105","Service Usage API","cloud.google.com/service-usage/","GA","Other","https://www.gstatic.com/images/branding/product/1x/googleg_32dp.png","Enables services that service consumers want to use on Google Cloud Platform, lists the available or enabled services, or disables services that service consumers no longer use.","v1","serviceusage.googleapis.com"
"110","Storage Transfer API","cloud.google.com/storage-transfer/","GA","Migration","https://www.gstatic.com/images/branding/product/1x/googleg_32dp.png","Transfers data from external data sources to a Google Cloud Storage bucket or between Google Cloud Storage buckets.","v1","storagetransfer.googleapis.com"
"134","Cloud Scheduler API","cloud.google.com/scheduler/","GA","Developer Tools","https://www.gstatic.com/images/branding/product/1x/googleg_32dp.png","Creates and manages jobs run on a regular recurring schedule.","v1","cloudscheduler.googleapis.com"
"196","BigQuery Storage","cloud.google.com/bigquery/docs/reference/storage/","BETA","Data Analytics","","Provides fast access to BigQuery managed storage by using an rpc-based protocol","","bigquerystorage.googleapis.com"
"286","Cloud Life Sciences API","cloud.google.com/life-sciences/","BETA","Data Analytics","https://www.gstatic.com/images/branding/product/1x/googleg_32dp.png","Cloud Life Sciences is a suite of services and tools for managing, processing, and transforming life sciences data.","v2beta","lifesciences.googleapis.com"
"296","App Engine Admin API","cloud.google.com/appengine/docs/admin-api/","GA","Cloud Serverless","https://www.gstatic.com/images/branding/product/1x/googleg_32dp.png","Provisions and manages developers' App Engine applications.","v1","appengine.googleapis.com"
"311","Secret Manager API","cloud.google.com/secret-manager/","GA","Secret Manager","https://www.gstatic.com/images/branding/product/1x/googleg_32dp.png","Stores sensitive data such as API keys, passwords, and certificates. Provides convenience while improving security.","v1","secretmanager.googleapis.com"
